taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2480505	Aquila pomarina C.L.Brehm, 1831	2480505	Aquila pomarina C.L.Brehm, 1831	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Aquila	2480498	Aquila pomarina	2480505	LC
2492350	Petronia petronia (Linnaeus, 1766)	2492350	Petronia petronia (Linnaeus, 1766)	16	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passeridae	5264	Petronia	2492345	Petronia petronia	2492350	LC
2360305	Alburnoides bipunctatus (Bloch, 1782)	2360305	Alburnoides bipunctatus (Bloch, 1782)	1693	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Cypriniformes	1153	Cyprinidae	7336	Alburnoides	2360279	Alburnoides bipunctatus	2360305	NE
2490275	Anthus petrosus (Montagu, 1798)	2490275	Anthus petrosus (Montagu, 1798)	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Anthus	2490241	Anthus petrosus	2490275	LC
2493548	Locustella naevia (Boddaert, 1783)	2493548	Locustella naevia (Boddaert, 1783)	952	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Locustellidae	6100825	Locustella	2493547	Locustella naevia	2493548	LC
4409105	Cygnus bewickii Yarrell, 1830	6178421	Cygnus columbianus bewickii Yarrell, 1830	15	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Cygnus	8996942	Cygnus columbianus	2498338	NE
5231236	Oenanthe leucura (Gmelin, 1789)	5231236	Oenanthe leucura (Gmelin, 1789)	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Oenanthe	2492483	Oenanthe leucura	5231236	LC
7340321	Prunella modularis modularis	7340321	Prunella modularis modularis	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Prunellidae	5273	Prunella	2495070	Prunella modularis	5231763	
2492962	Sylvia melanocephala (Gmelin, 1789)	2492962	Sylvia melanocephala (Gmelin, 1789)	17	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sylviidae	5285	Sylvia	2492941	Sylvia melanocephala	2492962	LC
2484886	Sitta whiteheadi Sharpe, 1884	2484886	Sitta whiteheadi Sharpe, 1884	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sittidae	5283	Sitta	2484878	Sitta whiteheadi	2484886	VU
2492947	Sylvia rueppelli Temminck, 1823	6100917	Sylvia ruppeli Temminck, 1823	15	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sylviidae	5285	Sylvia	2492941	Sylvia ruppeli	6100917	NE
2498326	Bucephala clangula (Linnaeus, 1758)	2498326	Bucephala clangula (Linnaeus, 1758)	3725	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Bucephala	2498324	Bucephala clangula	2498326	LC
5229154	Scopus umbretta Gmelin, 1789	5229154	Scopus umbretta Gmelin, 1789	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Scopidae	9345	Scopus	2480344	Scopus umbretta	5229154	LC
5789082	Euodice malabarica (Linnaeus, 1758)	5789082	Euodice malabarica (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Estrildidae	5709	Euodice	7340334	Euodice malabarica	5789082	LC
2360575	Chondrostoma soetta Bonaparte, 1840	2360575	Chondrostoma soetta Bonaparte, 1840	18	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Cypriniformes	1153	Cyprinidae	7336	Chondrostoma	2360535	Chondrostoma soetta	2360575	EN
2493220	Hippolais icterina (Vieillot, 1817)	2493220	Hippolais icterina (Vieillot, 1817)	367	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Acrocephalidae	6101019	Hippolais	2493213	Hippolais icterina	2493220	LC
5229264	Sterna bengalensis R.Lesson, 1831	7192410	Thalasseus bengalensis bengalensis	15	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Thalasseus	9109074	Thalasseus bengalensis	6065833	LC
2435959	Sorex minutissimus Zimmermann, 1780	2435959	Sorex minutissimus Zimmermann, 1780	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Sorex	2435935	Sorex minutissimus	2435959	LC
2482519	Corvus albus Statius Muller, 1776	2482519	Corvus albus Statius Muller, 1776	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Corvus	2482468	Corvus albus	2482519	LC
2487923	Parus Linnaeus, 1758	2487923	Parus Linnaeus, 1758	12	GENUS	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paridae	9327	Parus	2487923			NE
2498350	Somateria spectabilis (Linnaeus, 1758)	2498350	Somateria spectabilis (Linnaeus, 1758)	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Somateria	2498349	Somateria spectabilis	2498350	LC
5959143	Bubo scandiacus (Linnaeus, 1758)	5959143	Bubo scandiacus (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Bubo	5959091	Bubo scandiacus	5959143	VU
9187376	Upupa epops epops	9187376	Upupa epops epops	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Bucerotiformes	716	Upupidae	5293	Upupa	8349133	Upupa epops	2498415	
10355796	Curruca undata (Boddaert, 1783)	2492949	Sylvia undata (Boddaert, 1783)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sylviidae	5285	Sylvia	2492941	Sylvia undata	2492949	NT
2435998	Sorex antinorii Bonaparte, 1840	2435998	Sorex antinorii Bonaparte, 1840	792	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Sorex	2435935	Sorex antinorii	2435998	LC
5233	Columbidae	5233	Columbidae	3	FAMILY	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233					NE
2432416	Myotis myotis (Borkhausen, 1797)	2432416	Myotis myotis (Borkhausen, 1797)	18594	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Vespertilionidae	9368	Myotis	2432384	Myotis myotis	2432416	LC
2481062	Falco vespertinus Linnaeus, 1766	2481062	Falco vespertinus Linnaeus, 1766	293	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Falconiformes	7191407	Falconidae	5240	Falco	2480996	Falco vespertinus	2481062	VU
2481703	Xenus cinereus (Güldenstädt, 1775)	2481703	Xenus cinereus (Güldenstädt, 1775)	55	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Xenus	2481702	Xenus cinereus	2481703	LC
2482098	Burhinus grallarius (Latham, 1801)	2482098	Burhinus grallarius (Latham, 1801)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Burhinidae	9697	Burhinus	2482094	Burhinus grallarius	2482098	LC
5220126	Capreolus capreolus (Linnaeus, 1758)	5220126	Capreolus capreolus (Linnaeus, 1758)	26948	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Cervidae	5298	Capreolus	2440927	Capreolus capreolus	5220126	LC
2474921	Otis tarda Linnaeus, 1758	2474921	Otis tarda Linnaeus, 1758	16	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Otidiformes	8708973	Otididae	9610	Otis	9715249	Otis tarda	2474921	VU
2494771	Pinicola enucleator (Linnaeus, 1758)	2494771	Pinicola enucleator (Linnaeus, 1758)	16	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Pinicola	2494768	Pinicola enucleator	2494771	LC
5207400	Phoxinus septimaniae Kottelat, 2007	5207400	Phoxinus septimaniae Kottelat, 2007	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Cypriniformes	1153	Cyprinidae	7336	Phoxinus	3241387	Phoxinus septimaniae	5207400	LC
5534	Soricidae	5534	Soricidae	4	FAMILY	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534					NE
2362881	Leucaspius delineatus (Heckel, 1843)	2362881	Leucaspius delineatus (Heckel, 1843)	68	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Cypriniformes	1153	Cyprinidae	7336	Leucaspius	2362880	Leucaspius delineatus	2362881	LC
2480589	Accipiter gentilis (Linnaeus, 1758)	2480589	Accipiter gentilis (Linnaeus, 1758)	2483	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Accipiter	9405810	Accipiter gentilis	2480589	LC
2435767	Neomys fodiens (Pennant, 1771)	2435767	Neomys fodiens (Pennant, 1771)	766	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Soricomorpha	803	Soricidae	5534	Neomys	2435766	Neomys fodiens	2435767	LC
2481765	Calidris canutus (Linnaeus, 1758)	2481765	Calidris canutus (Linnaeus, 1758)	194	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris canutus	2481765	NT
10665553	Rana esculenta Linnaeus, 1758	2426654	Pelophylax lessonae (Camerano, 1882)	28	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Ranidae	6746	Pelophylax	2426629	Pelophylax lessonae	2426654	LC
2438660	Microtus subterraneus (Selys-Longchamps, 1836)	2438660	Microtus subterraneus (Selys-Longchamps, 1836)	414	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Microtus	2438591	Microtus subterraneus	2438660	LC
2480975	Sula leucogaster (Boddaert, 1783)	2480975	Sula leucogaster (Boddaert, 1783)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Suliformes	7192775	Sulidae	9351	Sula	2480966	Sula leucogaster	2480975	LC
6172874	Sturnus vulgaris vulgaris	6172874	Sturnus vulgaris vulgaris	6	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Sturnus	2489099	Sturnus vulgaris	9809229	
7191096	Bucephala clangula clangula	7191096	Bucephala clangula clangula	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Bucephala	2498324	Bucephala clangula	2498326	
7191608	Troglodytes troglodytes troglodytes	7191608	Troglodytes troglodytes troglodytes	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Troglodytidae	9355	Troglodytes	2493899	Troglodytes troglodytes	5231438	
7660710	Luscinia megarhynchos C.L.Brehm, 1831	7660710	Luscinia megarhynchos C.L.Brehm, 1831	3722	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Luscinia	5429330	Luscinia megarhynchos	7660710	LC
2492196	Melospiza melodia (A.Wilson, 1810)	2492196	Melospiza melodia (A.Wilson, 1810)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Melospiza	2492191	Melospiza melodia	2492196	LC
