OD	Sample_names	Sites	Sampler	duration	Type	Tube	Material	Buffer_vol	Dates	Site_Code	Sampler_Code	Date_Code	Comment	Plate	well	DNAC
117	9CM2	Coruz	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	C	M	9	NA	Plate_1	D_8	0.020058608156937455
54	1DD30	Duebendorf	Drone	30 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-05T00:00:00Z	D	D	1	no liquid	Plate_1	D_9	0.009257819149355747
83	3CD5	Coruz	Drone	10 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	D_10	0.014229610914750501
63	4HS30	Haslibach	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-08T00:00:00Z	H	S	4	NA	Plate_2	D_1	0.010800789007581706
374	3CS5	Coruz	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-07T00:00:00Z	C	S	3	NA	Plate_2	D_2	0.06411896966405647
37	7WScontrol	Weierbach	Sass	NA	field_control	BeadRupt_7ml	SASS_filter	3	2022-07-11T00:00:00Z	W	S	7	NA	Plate_2	D_3	0.006343320528262272
67	8RH30	Riedgraben	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-12T00:00:00Z	R	H	8	NA	Plate_2	D_4	0.011486553389015464
245	8RH5	Riedgraben	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-12T00:00:00Z	R	H	8	some buffer missing after first incubation	Plate_2	D_5	0.042003068362817746
124	9LF2	Leugene	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	L	F	9	NA	Plate_2	D_6	0.021258695824446533
920	4HK30	Haslibach	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-08T00:00:00Z	H	K	4	NA	Plate_2	D_7	0.15772580772976458
46	BLANK9	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_2	D_8	0.00788629038648823
60	7WKcontrol	Weierbach	Kärcher	NA	field_control	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-11T00:00:00Z	W	K	7	NA	Plate_2	D_9	0.010286465721506386
202	4HC30	Haslibach	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-08T00:00:00Z	H	C	4	NA	Plate_1	D_1	0.03463110126240483
973	4HC5	Haslibach	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-08T00:00:00Z	H	C	4	NA	Plate_1	D_2	0.1668121857837619
151	2TE30	Talent	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-06T00:00:00Z	T	E	2	NA	Plate_1	D_3	0.025887605399124405
74	BLANK1	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_1	D_4	0.012686641056524544
84	4HEcontrol	Haslibach	Electrostatic	NA	field_control	BeadRupt_2ml	Swab	2	2022-07-08T00:00:00Z	H	E	4	NA	Plate_1	D_5	0.01440105201010894
61	BLANK2	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_1	D_6	0.010457906816864827
115	6GB5	Gaebelbach	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-10T00:00:00Z	G	B	6	NA	Plate_1	D_7	0.019715725966220572
133	9CM2	Coruz	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	C	M	9	NA	Plate_1	D_8	0.02280166568267249
35	1DD30	Duebendorf	Drone	30 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-05T00:00:00Z	D	D	1	no liquid	Plate_1	D_9	0.006000438337545392
84	3CD5	Coruz	Drone	10 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	D_10	0.01440105201010894
56	4HS30	Haslibach	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-08T00:00:00Z	H	S	4	NA	Plate_2	D_1	0.009600701340072628
359	3CS5	Coruz	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-07T00:00:00Z	C	S	3	NA	Plate_2	D_2	0.06154735323367988
34	7WScontrol	Weierbach	Sass	NA	field_control	BeadRupt_7ml	SASS_filter	3	2022-07-11T00:00:00Z	W	S	7	NA	Plate_2	D_3	0.005828997242186953
61	8RH30	Riedgraben	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-12T00:00:00Z	R	H	8	NA	Plate_2	D_4	0.010457906816864827
275	8RH5	Riedgraben	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-12T00:00:00Z	R	H	8	some buffer missing after first incubation	Plate_2	D_5	0.047146301223570934
99	9LF2	Leugene	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	L	F	9	NA	Plate_2	D_6	0.016972668440485537
942	4HK30	Haslibach	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-08T00:00:00Z	H	K	4	NA	Plate_2	D_7	0.16149751182765026
50	BLANK9	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_2	D_8	0.008572054767921989
74	7WKcontrol	Weierbach	Kärcher	NA	field_control	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-11T00:00:00Z	W	K	7	NA	Plate_2	D_9	0.012686641056524544
129	5LC30	Leugene	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-09T00:00:00Z	L	C	5	NA	Plate_1	E_1	0.022115901301238732
268	5LC5	Leugene	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-09T00:00:00Z	L	C	5	NA	Plate_1	E_2	0.045946213556061856
69	3CE30	Coruz	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-07T00:00:00Z	C	E	3	NA	Plate_1	E_3	0.011829435579732345
159	2TE5	Talent	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-06T00:00:00Z	T	E	2	NA	Plate_1	E_4	0.027259134161991924
147	7WEcontrol	Weierbach	Electrostatic	NA	field_control	BeadRupt_2ml	Swab	2	2022-07-11T00:00:00Z	W	E	7	NA	Plate_1	E_5	0.025201841017690647
69	7WB30	Weierbach	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-11T00:00:00Z	W	B	7	NA	Plate_1	E_6	0.011829435579732345
132	7WB5	Weierbach	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-11T00:00:00Z	W	B	7	NA	Plate_1	E_7	0.02263022458731405
150	9HM2	Haslibach	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	H	M	9	NA	Plate_1	E_8	0.025716164303765967
213	3CD30	Coruz	Drone	30 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	E_9	0.036516953311347675
62	3CD6	Coruz	Drone	10 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	E_10	0.010629347912223266
64	5LS30	Leugene	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-09T00:00:00Z	L	S	5	NA	Plate_2	E_1	0.010972230102940145
212	4HS5	Haslibach	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-08T00:00:00Z	H	S	4	NA	Plate_2	E_2	0.03634551221598923
43	1DH30	Duebendorf	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-05T00:00:00Z	D	H	1	NA	Plate_2	E_3	0.00737196710041291
95	1DH5	Duebendorf	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-05T00:00:00Z	D	H	1	NA	Plate_2	E_4	0.01628690405905178
45	4HHcontrol	Haslibach	Hepa	NA	field_control	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-08T00:00:00Z	H	H	4	NA	Plate_2	E_5	0.00771484929112979
553	9GF2	Gaebelbach	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	G	F	9	NA	Plate_2	E_6	0.0948069257332172
42	BLANK8	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_2	E_7	0.00720052600505447
9134	3CK5	Coruz	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-07T00:00:00Z	C	K	3	NA	Plate_2	E_8	1.5659429650039889
59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010115024626147946
130	5LC30	Leugene	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-09T00:00:00Z	L	C	5	NA	Plate_1	E_1	0.02228734239659717
277	5LC5	Leugene	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-09T00:00:00Z	L	C	5	NA	Plate_1	E_2	0.04748918341428782
65	3CE30	Coruz	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-07T00:00:00Z	C	E	3	NA	Plate_1	E_3	0.011143671198298585
155	2TE5	Talent	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-06T00:00:00Z	T	E	2	NA	Plate_1	E_4	0.026573369780558166
130	7WEcontrol	Weierbach	Electrostatic	NA	field_control	BeadRupt_2ml	Swab	2	2022-07-11T00:00:00Z	W	E	7	NA	Plate_1	E_5	0.02228734239659717
81	7WB30	Weierbach	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-11T00:00:00Z	W	B	7	NA	Plate_1	E_6	0.013886728724033622
109	7WB5	Weierbach	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-11T00:00:00Z	W	B	7	NA	Plate_1	E_7	0.018687079394069935
163	9HM2	Haslibach	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	H	M	9	NA	Plate_1	E_8	0.027944898543425682
201	3CD30	Coruz	Drone	30 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	E_9	0.034459660167046394
63	3CD6	Coruz	Drone	10 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	E_10	0.010800789007581706
60	5LS30	Leugene	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-09T00:00:00Z	L	S	5	NA	Plate_2	E_1	0.010286465721506386
215	4HS5	Haslibach	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-08T00:00:00Z	H	S	4	NA	Plate_2	E_2	0.03685983550206455
