OD	Sample_names	Sites	Sampler	duration	Type	Tube	Material	Buffer_vol	Dates	Site_Code	Sampler_Code	Date_Code	Comment	Plate	well	DNAC
225	2TH5	Talent	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-06T00:00:00Z	T	H	2	NA	Plate_2	F_4	0.03857424645564895
38	7WHcontrol	Weierbach	Hepa	NA	field_control	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-11T00:00:00Z	W	H	7	NA	Plate_2	F_5	0.0065147616236207115
478	9WF2	Weierbach	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	W	F	9	NA	Plate_2	F_6	0.08194884358133421
189	5LK30	Leugene	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-09T00:00:00Z	L	K	5	NA	Plate_2	F_7	0.03240236702274512
6578	4HK5	Haslibach	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-08T00:00:00Z	H	K	4	NA	Plate_2	F_8	1.1277395252678168
53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009086378053997307
169	7WC30	Weierbach	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-11T00:00:00Z	W	C	7	NA	Plate_1	G_1	0.028973545115576323
926	7WC5	Weierbach	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-11T00:00:00Z	W	C	7	NA	Plate_1	G_2	0.15875445430191523
210	5LE30	Leugene	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-09T00:00:00Z	L	E	5	NA	Plate_1	G_3	0.036002630025272354
185	4HE5	Haslibach	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-08T00:00:00Z	H	E	4	NA	Plate_1	G_4	0.031716602641311355
81	2TB30	Talent	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-06T00:00:00Z	T	B	2	NA	Plate_1	G_5	0.013886728724033622
80	1DB5	Duebendorf	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-05T00:00:00Z	D	B	1	NA	Plate_1	G_6	0.013715287628675181
61	4HBcontrol	Haslibach	Burkhart	NA	field_control	Eppi_1.5	none	1.5	2022-07-08T00:00:00Z	H	B	4	NA	Plate_1	G_7	0.010457906816864827
172	9GM2	Gaebelbach	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	G	M	9	NA	Plate_1	G_8	0.02948786840165164
206	3CD1	Coruz	Drone	10 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	G_9	0.035316865643838596
55	4HDcontrol	Haslibach	Drone	NA	field_control	BeadRupt_2ml	Swab_and_grease	2	2022-07-08T00:00:00Z	H	D	4	NA	Plate_1	G_10	0.009429260244714188
79	6GS30	Gaebelbach	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-10T00:00:00Z	G	S	6	NA	Plate_2	G_1	0.013543846533316741
373	6GS5	Gaebelbach	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-10T00:00:00Z	G	S	6	NA	Plate_2	G_2	0.06394752856869804
102	3CH30	Coruz	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-07T00:00:00Z	C	H	3	NA	Plate_2	G_3	0.017486991726560857
397	3CH5	Coruz	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-07T00:00:00Z	C	H	3	NA	Plate_2	G_4	0.06806211485730058
38	BLANK7	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_2	G_5	0.0065147616236207115
555	9RF2	Riedgraben	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	R	F	9	NA	Plate_2	G_6	0.09514980792393407
257	6GK30	Gaebelbach	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-10T00:00:00Z	G	K	6	NA	Plate_2	G_7	0.04406036150711902
6070	5LK5	Leugene	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-09T00:00:00Z	L	K	5	NA	Plate_2	G_8	1.0406474488257293
50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008572054767921989
140	7WC30	Weierbach	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-11T00:00:00Z	W	C	7	NA	Plate_1	G_1	0.02400175335018157
889	7WC5	Weierbach	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-11T00:00:00Z	W	C	7	NA	Plate_1	G_2	0.15241113377365295
166	5LE30	Leugene	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-09T00:00:00Z	L	E	5	NA	Plate_1	G_3	0.028459221829501002
203	4HE5	Haslibach	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-08T00:00:00Z	H	E	4	NA	Plate_1	G_4	0.034802542357763276
65	2TB30	Talent	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-06T00:00:00Z	T	B	2	NA	Plate_1	G_5	0.011143671198298585
67	1DB5	Duebendorf	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-05T00:00:00Z	D	B	1	NA	Plate_1	G_6	0.011486553389015464
176	4HBcontrol	Haslibach	Burkhart	NA	field_control	Eppi_1.5	none	1.5	2022-07-08T00:00:00Z	H	B	4	NA	Plate_1	G_7	0.0301736327830854
159	9GM2	Gaebelbach	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	G	M	9	NA	Plate_1	G_8	0.027259134161991924
191	3CD1	Coruz	Drone	10 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	G_9	0.032745249213461995
97	4HDcontrol	Haslibach	Drone	NA	field_control	BeadRupt_2ml	Swab_and_grease	2	2022-07-08T00:00:00Z	H	D	4	NA	Plate_1	G_10	0.016629786249768658
68	6GS30	Gaebelbach	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-10T00:00:00Z	G	S	6	NA	Plate_2	G_1	0.011657994484373905
372	6GS5	Gaebelbach	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-10T00:00:00Z	G	S	6	NA	Plate_2	G_2	0.0637760874733396
73	3CH30	Coruz	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-07T00:00:00Z	C	H	3	NA	Plate_2	G_3	0.012515199961166103
388	3CH5	Coruz	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-07T00:00:00Z	C	H	3	NA	Plate_2	G_4	0.06651914499907463
41	BLANK7	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_2	G_5	0.007029084909696031
592	9RF2	Riedgraben	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	R	F	9	NA	Plate_2	G_6	0.10149312845219635
330	6GK30	Gaebelbach	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-10T00:00:00Z	G	K	6	NA	Plate_2	G_7	0.05657556146828512
6914	5LK5	Leugene	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-09T00:00:00Z	L	K	5	NA	Plate_2	G_8	1.1853437333082526
62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010629347912223266
171	8RC30	Riedgraben	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-12T00:00:00Z	R	C	8	NA	Plate_1	H_1	0.0293164273062932
693	8RC5	Riedgraben	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-12T00:00:00Z	R	C	8	NA	Plate_1	H_2	0.11880867908339876
150	6GE30	Gaebelbach	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-10T00:00:00Z	G	E	6	NA	Plate_1	H_3	0.025716164303765967
174	5LE5	Leugene	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-09T00:00:00Z	L	E	5	NA	Plate_1	H_4	0.029830750592368522
75	3CB30	Coruz	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-07T00:00:00Z	C	B	3	NA	Plate_1	H_5	0.012858082151882983
133	2TB5	Talent	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-06T00:00:00Z	T	B	2	NA	Plate_1	H_6	0.02280166568267249
55	BLANK3	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_1	H_7	0.009429260244714188
89	9WM2	Weierbach	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	W	M	9	NA	Plate_1	H_8	0.01525825748690114
108	3CD2	Coruz	Drone	10 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	H_9	0.018515638298711494
42	1DB30_1	Duebendorf	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-05T00:00:00Z	D	B	1	less liquid	Plate_1	H_10	0.00720052600505447
144	7WS30	Weierbach	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-11T00:00:00Z	W	S	7	NA	Plate_2	H_1	0.024687517731615326
286	7WS5	Weierbach	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-11T00:00:00Z	W	S	7	NA	Plate_2	H_2	0.04903215327251378
106	4HH30	Haslibach	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-08T00:00:00Z	H	H	4	NA	Plate_2	H_3	0.018172756107994615
275	4HH5	Haslibach	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-08T00:00:00Z	H	H	4	NA	Plate_2	H_4	0.047146301223570934
589	9DF2	Duebendorf	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	D	F	9	NA	Plate_2	H_5	0.10097880516612102
48	9F2control1	NA	WSL_Filter	NA	field_control	NA	NA	NA	2022-07-31T00:00:00Z	B	1	9	NA	Plate_2	H_6	0.00822917257720511
579	7WK30	Weierbach	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-11T00:00:00Z	W	K	7	NA	Plate_2	H_7	0.09926439421253663
9168	6GK5	Gaebelbach	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-10T00:00:00Z	G	K	6	NA	Plate_2	H_8	1.5717719622461759
64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010972230102940145
150	8RC30	Riedgraben	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-12T00:00:00Z	R	C	8	NA	Plate_1	H_1	0.025716164303765967
688	8RC5	Riedgraben	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-12T00:00:00Z	R	C	8	NA	Plate_1	H_2	0.11795147360660656
124	6GE30	Gaebelbach	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-10T00:00:00Z	G	E	6	NA	Plate_1	H_3	0.021258695824446533
205	5LE5	Leugene	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-09T00:00:00Z	L	E	5	NA	Plate_1	H_4	0.03514542454848015
67	3CB30	Coruz	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-07T00:00:00Z	C	B	3	NA	Plate_1	H_5	0.011486553389015464
70	2TB5	Talent	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-06T00:00:00Z	T	B	2	NA	Plate_1	H_6	0.012000876675090784
59	BLANK3	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_1	H_7	0.010115024626147946
80	9WM2	Weierbach	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	W	M	9	NA	Plate_1	H_8	0.013715287628675181
88	3CD2	Coruz	Drone	10 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	H_9	0.0150868163915427
45	1DB30_1	Duebendorf	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-05T00:00:00Z	D	B	1	less liquid	Plate_1	H_10	0.00771484929112979
69	7WS30	Weierbach	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-11T00:00:00Z	W	S	7	NA	Plate_2	H_1	0.011829435579732345
322	7WS5	Weierbach	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-11T00:00:00Z	W	S	7	NA	Plate_2	H_2	0.055204032705417606
100	4HH30	Haslibach	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-08T00:00:00Z	H	H	4	NA	Plate_2	H_3	0.017144109535843978
233	4HH5	Haslibach	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-08T00:00:00Z	H	H	4	NA	Plate_2	H_4	0.039945775218516465
641	9DF2	Duebendorf	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	D	F	9	NA	Plate_2	H_5	0.1098937421247599
53	9F2control1	NA	WSL_Filter	NA	field_control	NA	NA	NA	2022-07-31T00:00:00Z	B	1	9	NA	Plate_2	H_6	0.009086378053997307
590	7WK30	Weierbach	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-11T00:00:00Z	W	K	7	NA	Plate_2	H_7	0.10115024626147946
11285	6GK5	Gaebelbach	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-10T00:00:00Z	G	K	6	NA	Plate_2	H_8	1.9347127611199928
74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012686641056524544
