Plate	row	col	Sample_names	Sites	Sampler	duration	Type	Index
Plate_1	F	8	9LM2	Leugene	MWAC	2 weeks	passive	NGS_UDP0068
Plate_1	F	9	4HD30	Haslibach	Drone	30 min	active	NGS_UDP0069
Plate_1	F	10	3CDcontrol	Coruz	Drone	NA	field_control	NGS_UDP0070
Plate_1	F	11	BLANK5	NA	Extraction Blanks	NA	extr_control	NGS_UDP0071
Plate_1	F	12	5LS5	Leugene	Sass	5 hours	active	NGS_UDP0072
Plate_1	G	1	7WC30	Weierbach	Coriolis	30 min	active	NGS_UDP0073
Plate_1	G	2	7WC5	Weierbach	Coriolis	5 hours	active	NGS_UDP0074
Plate_1	G	3	5LE30	Leugene	Electrostatic	30 min	active	NGS_UDP0075
Plate_1	G	4	4HE5	Haslibach	Electrostatic	5 hours	active	NGS_UDP0076
Plate_1	G	5	2TB30	Talent	Burkhart	30 min	active	NGS_UDP0077
Plate_1	G	6	1DB5	Duebendorf	Burkhart	5 hours	active	NGS_UDP0078
Plate_1	G	7	4HBcontrol	Haslibach	Burkhart	NA	field_control	NGS_UDP0079
Plate_1	G	8	9GM2	Gaebelbach	MWAC	2 weeks	passive	NGS_UDP0080
Plate_1	G	9	3CD1	Coruz	Drone	10 min	active	NGS_UDP0081
Plate_1	G	10	4HDcontrol	Haslibach	Drone	NA	field_control	NGS_UDP0082
Plate_1	G	11	6GS30	Gaebelbach	Sass	30 min	active	NGS_UDP0083
Plate_1	G	12	6GS5	Gaebelbach	Sass	5 hours	active	NGS_UDP0084
Plate_1	H	1	8RC30	Riedgraben	Coriolis	30 min	active	NGS_UDP0085
Plate_1	H	2	8RC5	Riedgraben	Coriolis	5 hours	active	NGS_UDP0086
Plate_1	H	3	6GE30	Gaebelbach	Electrostatic	30 min	active	NGS_UDP0087
Plate_1	H	4	5LE5	Leugene	Electrostatic	5 hours	active	NGS_UDP0088
Plate_1	H	5	3CB30	Coruz	Burkhart	30 min	active	NGS_UDP0089
Plate_1	H	6	2TB5	Talent	Burkhart	5 hours	active	NGS_UDP0090
Plate_1	H	7	BLANK3	NA	Extraction Blanks	NA	extr_control	NGS_UDP0091
Plate_1	H	8	9WM2	Weierbach	MWAC	2 weeks	passive	NGS_UDP0092
Plate_1	H	9	3CD2	Coruz	Drone	10 min	active	NGS_UDP0093
Plate_1	H	10	1DB30_1	Duebendorf	Burkhart	30 min	active	NGS_UDP0094
Plate_1	H	11	7WS30	Weierbach	Sass	30 min	active	NGS_UDP0095
Plate_1	H	12	7WS5	Weierbach	Sass	5 hours	active	NGS_UDP0096
Plate_2	A	1	BLANK6	NA	Extraction Blanks	NA	extr_control	NGS_UDP0097
Plate_2	A	2	5LH30	Leugene	Hepa	30 min	active	NGS_UDP0098
Plate_2	A	3	5LH5	Leugene	Hepa	5 hours	active	NGS_UDP0099
Plate_2	A	4	9TF2	Talent	WSL_Filter	2 weeks	passive	NGS_UDP0100
Plate_2	A	5	1DK30	Duebendorf	Kärcher	30 min	active	NGS_UDP0101
Plate_2	A	6	8RK30	Riedgraben	Kärcher	30 min	active	NGS_UDP0102
Plate_2	A	7	7WK5	Weierbach	Kärcher	5 hours	active	NGS_UDP0103
Plate_2	B	1	8RS5	Riedgraben	Sass	5 hours	active	NGS_UDP0109
Plate_2	B	2	6GH30	Gaebelbach	Hepa	30 min	active	NGS_UDP0110
Plate_2	B	3	6GH5	Gaebelbach	Hepa	5 hours	active	NGS_UDP0111
Plate_2	B	4	9CF2	Coruz	WSL_Filter	2 weeks	passive	NGS_UDP0112
Plate_2	B	5	2TK30	Talent	Kärcher	30 min	active	NGS_UDP0113
Plate_2	B	6	1DK5	Duebendorf	Kärcher	5 hours	active	NGS_UDP0114
Plate_2	B	7	8RK5	Riedgraben	Kärcher	5 hours	active	NGS_UDP0115
Plate_2	C	1	4HScontrol	Haslibach	Sass	NA	field_control	NGS_UDP0121
Plate_2	C	2	7WH30	Weierbach	Hepa	30 min	active	NGS_UDP0122
Plate_2	C	3	7WH5	Weierbach	Hepa	5 hours	active	NGS_UDP0123
Plate_2	C	4	9HF2	Haslibach	WSL_Filter	2 weeks	passive	NGS_UDP0124
Plate_2	C	5	3CK30	Coruz	Kärcher	30 min	active	NGS_UDP0125
Plate_2	C	6	2TK5	Talent	Kärcher	5 hours	active	NGS_UDP0126
Plate_2	C	7	4HKcontrol	Haslibach	Kärcher	NA	field_control	NGS_UDP0127
Plate_2	D	1	7WScontrol	Weierbach	Sass	NA	field_control	NGS_UDP0133
Plate_2	D	2	8RH30	Riedgraben	Hepa	30 min	active	NGS_UDP0134
Plate_2	D	3	8RH5	Riedgraben	Hepa	5 hours	active	NGS_UDP0135
Plate_2	D	4	9LF2	Leugene	WSL_Filter	2 weeks	passive	NGS_UDP0136
Plate_2	D	5	4HK30	Haslibach	Kärcher	30 min	active	NGS_UDP0137
Plate_2	D	6	BLANK9	NA	Extraction Blanks	NA	extr_control	NGS_UDP0138
Plate_2	D	7	7WKcontrol	Weierbach	Kärcher	NA	field_control	NGS_UDP0139
Plate_2	E	1	1DH30	Duebendorf	Hepa	30 min	active	NGS_UDP0145
Plate_2	E	2	1DH5	Duebendorf	Hepa	5 hours	active	NGS_UDP0146
