seq	devision	phylum	class	order	family	genus
seq_08336	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA
seq_08339	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_08340	Bacteria	Armatimonadota	NA	NA	NA	NA
seq_08341	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA
seq_08342	NA	NA	NA	NA	NA	NA
seq_08343	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_08344	Bacteria	NA	NA	NA	NA	NA
seq_08345	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	NA
seq_08346	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08347	Bacteria	Verrucomicrobiota	NA	NA	NA	NA
seq_08353	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_08355	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_08360	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08362	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Lacipirellulaceae	NA
seq_08363	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA
seq_08366	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_08367	Bacteria	Balneolota	Balneolia	Balneolales	Balneolaceae	NA
seq_08371	Bacteria	NA	NA	NA	NA	NA
seq_08372	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	NA
seq_08375	Bacteria	Acidobacteriota	NA	NA	NA	NA
seq_08379	Bacteria	NA	NA	NA	NA	NA
seq_08380	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Methyloversatilis
seq_08381	NA	NA	NA	NA	NA	NA
seq_08383	Bacteria	NA	NA	NA	NA	NA
seq_08385	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA
seq_08386	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	NA
seq_08387	Bacteria	Actinomycetota	Thermoleophilia	NA	NA	NA
seq_08391	Bacteria	NA	NA	NA	NA	NA
seq_08396	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	NA	NA
seq_08398	Bacteria	Pseudomonadota	Deltaproteobacteria	NA	NA	NA
seq_08403	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08404	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_08405	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08407	Bacteria	Cyanobacteriota	Cyanophyceae	NA	NA	NA
seq_08408	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA
seq_08409	Bacteria	Pseudomonadota	Deltaproteobacteria	Syntrophorhabdales	Syntrophorhabdaceae	Syntrophorhabdus
seq_08410	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Thermocrispum
seq_08412	Bacteria	NA	NA	NA	NA	NA
seq_08413	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_08414	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_08421	NA	NA	NA	NA	NA	NA
seq_08422	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
seq_08423	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08424	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08426	NA	NA	NA	NA	NA	NA
seq_08427	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Spirosomaceae	Runella
seq_08428	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08431	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	NA
seq_08432	Bacteria	Verrucomicrobiota	NA	NA	NA	NA
seq_08433	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	Polyangium
seq_08435	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA
seq_08436	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	NA
seq_08439	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_08440	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08441	Bacteria	NA	NA	NA	NA	NA
seq_08442	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08445	Bacteria	Bacillota	Bacillota_incertae_sedis	Bacillota_incertae_sedis	Bacillota_incertae_sedis	Hydrogenispora
seq_08446	Bacteria	NA	NA	NA	NA	NA
seq_08448	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_08451	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	NA
seq_08452	Bacteria	Actinomycetota	NA	NA	NA	NA
seq_08453	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08456	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA
seq_08457	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Flintibacter
seq_08458	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	NA
seq_08461	Bacteria	Pseudomonadota	Betaproteobacteria	NA	NA	NA
seq_08462	Bacteria	NA	NA	NA	NA	NA
seq_08464	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_08466	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_08467	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	NA
seq_08471	NA	NA	NA	NA	NA	NA
seq_08472	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08473	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08475	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA
seq_08481	Bacteria	Planctomycetota	NA	NA	NA	NA
seq_08489	Bacteria	NA	NA	NA	NA	NA
seq_08490	Bacteria	NA	NA	NA	NA	NA
seq_08492	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Nannocystaceae	NA
seq_08495	NA	NA	NA	NA	NA	NA
seq_08497	Bacteria	Verrucomicrobiota	Spartobacteria	Spartobacteria_incertae_sedis	Spartobacteria_incertae_sedis	NA
seq_08499	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08500	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08502	Bacteria	NA	NA	NA	NA	NA
seq_08505	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA
seq_08506	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	NA
seq_08507	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	NA
seq_08508	Bacteria	Pseudomonadota	Deltaproteobacteria	NA	NA	NA
seq_08511	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	NA
seq_08513	Bacteria	Planctomycetota	Planctomycetia	NA	NA	NA
seq_08514	Bacteria	Actinomycetota	NA	NA	NA	NA
seq_08516	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_08518	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA
seq_08519	Bacteria	Bacillota	Clostridia	NA	NA	NA
seq_08520	Bacteria	Verrucomicrobiota	NA	NA	NA	NA
seq_08523	NA	NA	NA	NA	NA	NA
seq_08524	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	NA	NA
seq_08525	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08530	Bacteria	Pseudomonadota	NA	NA	NA	NA
seq_08531	NA	NA	NA	NA	NA	NA
seq_08532	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	NA	NA
seq_08536	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_08537	Bacteria	NA	NA	NA	NA	NA
seq_08539	Bacteria	Acidobacteriota	NA	NA	NA	NA
seq_08542	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Ilyomonas
seq_08544	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_08545	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	NA
seq_08546	Bacteria	Planctomycetota	Planctomycetia	NA	NA	NA
seq_08552	Bacteria	NA	NA	NA	NA	NA
seq_08555	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA
seq_08556	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Aliicoccus
seq_08562	Bacteria	Chloroflexota	Anaerolineae	NA	NA	NA
seq_08564	NA	NA	NA	NA	NA	NA
seq_08565	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	NA
seq_08566	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA
seq_08567	Bacteria	Bacillota	Clostridia	Eubacteriales	NA	NA
seq_08568	Bacteria	Pseudomonadota	NA	NA	NA	NA
seq_08570	Bacteria	Planctomycetota	Planctomycetia	NA	NA	NA
seq_08571	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	NA
seq_08573	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Lawsonibacter
seq_08574	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08579	Bacteria	NA	NA	NA	NA	NA
seq_08582	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_08583	Bacteria	Chloroflexota	Caldilineae	Caldilineales	Caldilineaceae	NA
seq_08588	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	NA
seq_08590	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA
seq_08591	Bacteria	Pseudomonadota	Betaproteobacteria	NA	NA	NA
seq_08592	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08593	Bacteria	Chloroflexota	Anaerolineae	NA	NA	NA
seq_08595	Bacteria	Pseudomonadota	Betaproteobacteria	NA	NA	NA
seq_08596	Bacteria	Bacteroidota	NA	NA	NA	NA
seq_08599	Bacteria	Pseudomonadota	NA	NA	NA	NA
seq_08603	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Amniculibacterium
seq_08608	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08609	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	NA	NA
seq_08614	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08615	Bacteria	Bacillota	Bacilli	Caryophanales	Caryophanaceae	Lysinibacillus
seq_08617	Bacteria	NA	NA	NA	NA	NA
seq_08621	Bacteria	Bacillota	NA	NA	NA	NA
seq_08624	Bacteria	NA	NA	NA	NA	NA
seq_08626	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA
seq_08627	Bacteria	NA	NA	NA	NA	NA
seq_08630	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	NA
seq_08631	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	NA
seq_08633	NA	NA	NA	NA	NA	NA
seq_08634	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08636	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08640	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
seq_08641	Bacteria	Bacteroidota	NA	NA	NA	NA
seq_08642	Bacteria	Actinomycetota	NA	NA	NA	NA
seq_08643	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA
seq_08645	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_08647	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08648	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_08651	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	NA	NA
seq_08655	Bacteria	Acidobacteriota	NA	NA	NA	NA
seq_08659	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	NA
seq_08661	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_08664	Bacteria	Bacteroidota	Saprospiria	Saprospirales	Lewinellaceae	NA
seq_08665	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA
seq_08666	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	NA	NA
seq_08667	Bacteria	Actinomycetota	NA	NA	NA	NA
seq_08668	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_08673	Bacteria	Bacteroidota	NA	NA	NA	NA
seq_08675	Bacteria	NA	NA	NA	NA	NA
seq_08678	Bacteria	NA	NA	NA	NA	NA
seq_08684	NA	NA	NA	NA	NA	NA
seq_08687	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08689	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA
seq_08690	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	NA
seq_08691	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	NA	NA
seq_08699	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	NA
seq_08700	Bacteria	Verrucomicrobiota	NA	NA	NA	NA
seq_08701	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	NA
seq_08702	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Globicatella
seq_08703	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	NA	NA
seq_08708	Bacteria	NA	NA	NA	NA	NA
seq_08710	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA
seq_08713	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Lacipirellulaceae	NA
seq_08714	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	NA
seq_08715	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_08720	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA
seq_08723	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	NA	NA
seq_08724	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_08728	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08730	Bacteria	Pseudomonadota	NA	NA	NA	NA
seq_08731	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_08732	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Solitalea
seq_08733	Bacteria	Bacillota	NA	NA	NA	NA
seq_08735	Bacteria	Pseudomonadota	Deltaproteobacteria	NA	NA	NA
seq_08736	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA
seq_08737	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	NA
seq_08738	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	NA	NA
seq_08740	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA
seq_08744	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia
seq_08746	Bacteria	Pseudomonadota	NA	NA	NA	NA
seq_08748	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_08749	Bacteria	NA	NA	NA	NA	NA
seq_08750	Bacteria	Cyanobacteriota	Cyanophyceae	NA	NA	NA
seq_08751	Bacteria	Actinomycetota	NA	NA	NA	NA
seq_08752	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	NA	NA
seq_08755	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	NA
seq_08757	NA	NA	NA	NA	NA	NA
seq_08761	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08763	Bacteria	Pseudomonadota	Oligoflexia	Oligoflexales	NA	NA
seq_08764	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_08767	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
seq_08768	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_08775	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08776	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA
seq_08778	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08779	NA	NA	NA	NA	NA	NA
seq_08780	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_08783	Bacteria	NA	NA	NA	NA	NA
seq_08784	Bacteria	NA	NA	NA	NA	NA
seq_08788	Bacteria	Pseudomonadota	Betaproteobacteria	NA	NA	NA
seq_08789	Bacteria	Pseudomonadota	Deltaproteobacteria	NA	NA	NA
seq_08790	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA
seq_08796	Bacteria	NA	NA	NA	NA	NA
seq_08797	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08799	Bacteria	NA	NA	NA	NA	NA
seq_08801	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08802	Bacteria	NA	NA	NA	NA	NA
seq_08806	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_08812	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08818	Bacteria	Pseudomonadota	Deltaproteobacteria	NA	NA	NA
seq_08821	Bacteria	Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae	Stenomitos
seq_08825	Bacteria	Pseudomonadota	NA	NA	NA	NA
seq_08826	Bacteria	Pseudomonadota	Gammaproteobacteria	Nevskiales	Nevskiaceae	NA
seq_08829	Bacteria	Cyanobacteriota	Cyanophyceae	NA	NA	NA
seq_08832	Bacteria	Bacteroidota	NA	NA	NA	NA
seq_08833	Bacteria	NA	NA	NA	NA	NA
seq_08834	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08838	Bacteria	Planctomycetota	Phycisphaerae	NA	NA	NA
seq_08846	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	NA
seq_08847	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Rhodocytophaga
seq_08851	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	NA	NA
seq_08853	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_08856	Bacteria	Pseudomonadota	Betaproteobacteria	NA	NA	NA
seq_08858	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	NA	NA
seq_08859	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08863	Bacteria	Pseudomonadota	NA	NA	NA	NA
seq_08865	Bacteria	Actinomycetota	Thermoleophilia	NA	NA	NA
seq_08869	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08871	Bacteria	Pseudomonadota	NA	NA	NA	NA
seq_08872	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_08874	Bacteria	NA	NA	NA	NA	NA
seq_08875	Bacteria	NA	NA	NA	NA	NA
seq_08877	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	NA
seq_08878	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08880	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_08882	Bacteria	Cyanobacteriota	Cyanophyceae	Nostocales	Tolypotrichaceae	NA
seq_08883	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	NA	NA
seq_08884	Bacteria	NA	NA	NA	NA	NA
seq_08887	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_08888	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	NA
seq_08891	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08892	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA
seq_08893	NA	NA	NA	NA	NA	NA
seq_08895	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA
seq_08896	NA	NA	NA	NA	NA	NA
seq_08897	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08899	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_08903	Bacteria	Bacteroidota	NA	NA	NA	NA
seq_08905	Bacteria	Pseudomonadota	Oligoflexia	Oligoflexales	NA	NA
seq_08906	Bacteria	NA	NA	NA	NA	NA
seq_08909	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_08910	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA
seq_08914	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08915	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	NA	NA
seq_08917	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08921	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08922	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA
seq_08924	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08926	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	NA	NA
seq_08928	Bacteria	NA	NA	NA	NA	NA
seq_08934	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	NA
seq_08935	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_08936	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_08940	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_08941	Bacteria	NA	NA	NA	NA	NA
seq_08944	Bacteria	Actinomycetota	NA	NA	NA	NA
seq_08945	Bacteria	Bacteroidota	Saprospiria	Saprospirales	Lewinellaceae	NA
seq_08947	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	NA
seq_08948	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA
seq_08954	NA	NA	NA	NA	NA	NA
seq_08955	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_08957	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	NA
seq_08959	Bacteria	Actinomycetota	NA	NA	NA	NA
seq_08960	Bacteria	NA	NA	NA	NA	NA
seq_08961	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	NA
seq_08962	Bacteria	Cyanobacteriota	Cyanophyceae	Oculatellales	Oculatellaceae	Drouetiella
seq_08963	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	NA
seq_08966	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Iamiaceae	NA
seq_08967	NA	NA	NA	NA	NA	NA
seq_08968	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	NA
seq_08974	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_08975	Bacteria	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	NA
seq_08978	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	NA
seq_08979	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	NA	NA
seq_08981	Bacteria	NA	NA	NA	NA	NA
seq_08982	Bacteria	NA	NA	NA	NA	NA
seq_08983	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Actinopolymorphaceae	Thermasporomyces
seq_08985	Bacteria	Pseudomonadota	Betaproteobacteria	NA	NA	NA
seq_08988	NA	NA	NA	NA	NA	NA
seq_08991	Bacteria	Pseudomonadota	Betaproteobacteria	NA	NA	NA
seq_08996	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_08997	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_09000	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_09005	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA
seq_09009	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia
seq_09015	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA
seq_09016	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA
seq_09019	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	NA	NA
seq_09020	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA
seq_09021	Bacteria	Actinomycetota	Actinobacteria	Geodermatophilales	Geodermatophilaceae	NA
seq_09022	NA	NA	NA	NA	NA	NA
seq_09023	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA
seq_09025	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_09027	Bacteria	NA	NA	NA	NA	NA
seq_09028	Bacteria	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	NA
seq_09029	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Pseudoflavonifractor
seq_09036	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_09037	NA	NA	NA	NA	NA	NA
seq_09040	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_09041	NA	NA	NA	NA	NA	NA
seq_09042	Bacteria	Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Potamolinea
seq_09044	NA	NA	NA	NA	NA	NA
seq_09046	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_09047	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	NA
seq_09050	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_09051	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
