seq	kingdom	phylum	class	order	family	genus	species
seq_13962	NA	NA	NA	NA	NA	NA	NA
seq_13963	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	NA
seq_13965	Fungi	Ascomycota	Sordariomycetes	Sordariales	Helminthosphaeriaceae	Spadicoides	NA
seq_13967	Fungi	Ascomycota	Sareomycetes	Sareales	Sareaceae	Sarea	NA
seq_13968	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Coccomyxaceae	Choricystis	NA
seq_13969	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA
seq_13972	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	NA	NA
seq_13973	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha hepaticicola
seq_13974	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Kockovaella	Kockovaella schimae
seq_13975	Fungi	Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Erysiphe	NA
seq_13976	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Cynodon	Cynodon dactylon
seq_13977	Plantae	Chlorophyta	Trebouxiophyceae	Oocystales	Oocystaceae	Jaagichlorella	NA
seq_13979	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	NA
seq_13980	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	Phaeococcomyces eucalypti
seq_13981	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Genolevuria	NA
seq_13982	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	NA	NA
seq_13983	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Phleum	NA
seq_13987	NA	NA	NA	NA	NA	NA	NA
seq_13989	Fungi	Entomophthoromycota	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Pandora	NA
seq_13990	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	NA
seq_13992	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
seq_13998	NA	NA	NA	NA	NA	NA	NA
seq_14001	NA	NA	NA	NA	NA	NA	NA
seq_14002	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
seq_14003	NA	NA	NA	NA	NA	NA	NA
seq_14006	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	NA	NA
seq_14007	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	NA	NA
seq_14009	Fungi	Basidiomycota	Ustilaginomycetes	Urocystidales	Urocystidaceae	Urocystis	NA
