Sample	seq_001	seq_002	seq_006	seq_011	seq_014	seq_018	seq_019	seq_023	seq_033	seq_069	seq_366	seq_459	seq_472
343961_170-NGS_UDP0170	65047	143742	0	0	0	0	0	0	0	0	0	0	0
343961_171-NGS_UDP0171	5	0	0	0	0	0	0	0	0	0	0	0	0
343961_172-NGS_UDP0172	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_173-NGS_UDP0173	6	0	0	0	0	0	0	0	0	0	0	0	0
343961_174-NGS_UDP0174	21	170646	0	0	0	0	0	0	0	0	0	0	0
343961_175-NGS_UDP0175	0	0	119217	0	0	0	0	0	0	0	0	0	0
343961_176-NGS_UDP0176	122106	0	0	0	0	0	0	0	0	0	0	0	0
343961_177-NGS_UDP0177	18	0	0	0	0	0	0	0	0	0	0	0	0
343961_181-NGS_UDP0181	35	0	0	0	0	0	0	0	0	0	0	0	0
343961_182-NGS_UDP0182	1347	0	0	0	0	0	0	0	0	0	0	0	0
343961_183-NGS_UDP0183	177901	0	0	0	0	0	0	0	0	0	0	0	0
343961_184-NGS_UDP0184	243713	0	0	0	0	0	0	0	0	0	0	0	0
343961_185-NGS_UDP0185	198109	0	0	0	0	0	0	0	0	0	0	0	0
343961_186-NGS_UDP0186	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_187-NGS_UDP0187	0	214402	0	0	0	0	0	0	0	0	0	0	0
343961_188-NGS_UDP0188	4714	39012	0	0	0	0	0	0	26062	0	159	0	0
343961_189-NGS_UDP0189	9	0	0	0	0	0	0	0	0	0	0	0	0
